2015's annual report

farm_id,total,percent of total of all farms
Farm 100,3749932,1.1212521150749055%
Farm 101,3674582,1.0987220140301683%
Farm 102,3760971,1.1245528421543063%
Farm 103,3608401,1.0789334988710206%
Farm 104,3696776,1.1053581528833454%
Farm 105,1829692,0.5470888605275066%
Farm 106,3785326,1.1318351329432192%
Farm 107,3680185,1.100397344569699%
Farm 108,1857023,0.5552609931307412%
Farm 109,3800027,1.1362308199433344%
Farm 110,3651294,1.0917587626283123%
Farm 111,3601146,1.0767642104426256%
Farm 112,3713227,1.1102771003589522%
Farm 113,1788739,0.5348436683830458%
Farm 114,1634481,0.48871960299540007%
Farm 115,3537043,1.057597029722376%
Farm 116,3819006,1.1419056545515371%
Farm 117,3647847,1.090728088994587%
Farm 18,3678187,1.0997999306096808%
Farm 19,3623026,1.0833064614162002%
Farm 20,3612571,1.0801803538326205%
Farm 21,3746070,1.120097353956992%
Farm 22,3553601,1.0625479708384844%
Farm 23,3503314,1.0475118568207442%
Farm 24,1733920,0.5184524592367756%
Farm 25,3651458,1.0918077996100155%
Farm 26,3643055,1.089295252309698%
Farm 27,3687484,1.1025797892614781%
Farm 28,3660318,1.0944569926459329%
Farm 29,1727778,0.5166159644707932%
Farm 30,3632744,1.0862122015881015%
Farm 31,3657583,1.093639211274236%
Farm 32,3535452,1.0571213111986577%
Farm 33,3712967,1.1101993588025934%
Farm 34,3559620,1.0643476878681895%
Farm 35,3641311,1.0887737858701223%
Farm 36,1785885,0.5339903052990155%
Farm 37,3551600,1.061949659860508%
Farm 38,3729278,1.115076445440161%
Farm 39,3585555,1.0721024081149746%
Farm 40,3582862,1.0712971849946895%
Farm 41,3737588,1.1175611851837808%
Farm 42,3554609,1.0628493688723677%
Farm 43,3726940,1.1143773694449042%
Farm 44,1843272,0.5511493618173213%
Farm 45,3648063,1.0907926742875618%
Farm 46,3507467,1.0487536286805825%
Farm 47,3480767,1.040770168854511%
Farm 48,3740007,1.1182844806639032%
Farm 49,1811587,0.5416753571510639%
Farm 50,3612183,1.0800643395100544%
Farm 51,3596255,1.0753017721651232%
Farm 52,3544791,1.059913728101867%
Farm 53,3769290,1.1270402729518003%
Farm 54,3844165,1.14942834615319%
Farm 55,3539176,1.0582348094905039%
Farm 56,1731851,0.5178338158517515%
Farm 57,3441859,1.0291364439514101%
Farm 58,3646246,1.0902493804110085%
Farm 59,3554340,1.0627689362621349%
Farm 60,3746938,1.120356891152836%
Farm 61,3508158,1.048960241816905%
Farm 62,3747733,1.120594600911702%
Farm 63,3585431,1.0720653313727113%
Farm 64,3809967,1.1392029394441265%
Farm 65,3634550,1.0867522063988089%
Farm 66,1827093,0.5463117439699051%
Farm 67,3678814,1.0999874073629%
Farm 68,3678642,1.0999359783333087%
Farm 69,3743524,1.1193360847166485%
Farm 70,3753791,1.1224059791748608%
Farm 71,3406346,1.0185178443707632%
Farm 72,3610030,1.079420579622207%
Farm 73,3528470,1.0550336514044392%
Farm 74,3549751,1.0613967977924028%
Farm 75,3571319,1.0678457588983472%
Farm 76,3669326,1.0971504385677775%
Farm 77,3791097,1.1335606964883975%
Farm 78,3670417,1.0974766540984984%
Farm 79,1725732,0.516004198223447%
Farm 80,3673040,1.0982609467997637%
Farm 81,3530599,1.055670235148623%
Farm 82,3587411,1.0726573632249816%
Farm 83,3642773,1.0892109326216473%
Farm 84,3734294,1.1165762594659128%
Farm 85,3664501,1.0957077346853508%
Farm 86,3508958,1.049199446605701%
Farm 87,1835676,0.5488781123477018%
Farm 88,1808924,0.5408791042103586%
Farm 89,3554453,1.0628027239385522%
Farm 90,3512545,1.0502719810774659%
Farm 91,3665618,1.0960417243717073%
Farm 92,3752490,1.1220169723870812%
Farm 93,3527788,1.0548297293219906%
Farm 94,3763964,1.1254477670703902%
Farm 95,1849159,0.5529096100568749%
Farm 96,1856944,0.5552373716578475%
Farm 97,3574253,1.068723042461257%
Farm 98,3569461,1.067290205776368%
Farm 99,3629692,1.0852996353188442%
