date,farm_id,weight
S1RGVH,Farm 118,11144
2019-10-1,Farm 119,2946
2019-10-1,Farm 120,9020
2019-10-1,Farm 121,2792
2019-10-1,Farm 122,WGVVB7
2019-10-2,8TX1QV,2988
L57Z0C,Farm 119,17852
2019-10-2,Farm 120,KI9CA4
2019-10-2,Farm 121,11041
2019-10-2,Farm 122,16649
2019-10-3,Farm 118,INN747
2019-10-3,Farm 119,15331
2019-10-3,Farm 120,11873
2019-10-3,Farm 121,17038
2019-10-3,Farm 122,14195
U8XT6D,Farm 118,16648
2019-10-4,Farm 119,7445
2019-10-4,S5IH0R,14185
GXIZCC,Farm 121,3171
2019-10-4,Farm 122,13867
2019-10-5,Farm 118,E23CMW
2019-10-5,Farm 119,6418
2019-10-5,Farm 120,9546
2019-10-5,Farm 121,6659
2019-10-5,Farm 122,12150
2019-10-6,Farm 118,9594
2019-10-6,Farm 119,17239
2019-10-6,Farm 120,5728
2019-10-6,Farm 121,2215
2019-10-6,Farm 122,4874
2019-10-7,Farm 118,14884
2019-10-7,Farm 119,15182
2019-10-7,Farm 120,13096
2019-10-7,Farm 121,4933
2019-10-7,Farm 122,4714
2019-10-8,Farm 118,3776
2019-10-8,Farm 119,12687
2019-10-8,Farm 120,17544
2019-10-8,Farm 121,4800
2019-10-8,Farm 122,3918
2019-10-9,Farm 118,3028
2019-10-9,Farm 119,HJYTVO
2019-10-9,Farm 120,16525
2019-10-9,Farm 121,U0H4MO
2019-10-9,Farm 122,9937
2019-10-10,Farm 118,5111
2019-10-10,Farm 119,8271
2019-10-10,Farm 120,JCSCO8
2019-10-10,Farm 121,4423
2019-10-10,Farm 122,5650
2019-10-11,Farm 118,8309
2019-10-11,Farm 119,15850
2019-10-11,Farm 120,8RL9C9
2019-10-11,Farm 121,14960
2019-10-11,Farm 122,12822
2019-10-12,Farm 118,13429
2019-10-12,SUFUD6,15433
2019-10-12,Farm 120,11381
2019-10-12,Farm 121,11965
2019-10-12,Farm 122,4859
2019-10-13,Farm 118,EEGCGD
2019-10-13,Farm 119,12886
2019-10-13,Farm 120,16941
O96F8J,Farm 121,15411
2019-10-13,Farm 122,2395
2019-10-14,Farm 118,2261
2019-10-14,Farm 119,3377
2019-10-14,24T05G,16286
2019-10-14,Farm 121,16533
2019-10-14,Farm 122,2518
2019-10-15,Farm 118,17768
2019-10-15,Farm 119,7058
2019-10-15,Farm 120,12058
2019-10-15,Farm 121,17872
2019-10-15,Farm 122,14457
2019-10-16,Farm 118,5650
2019-10-16,Farm 119,6951
I0STB2,Farm 120,11413
2019-10-16,Farm 121,8297
2019-10-16,Farm 122,7193
2019-10-17,Farm 118,5928
2019-10-17,Farm 119,13439
2019-10-17,Farm 120,7009
2019-10-17,Farm 121,2112
2019-10-17,Farm 122,2427
2019-10-18,1ZZOZJ,13408
2019-10-18,Farm 119,11493
2019-10-18,Farm 120,10363
2019-10-18,Farm 121,GD82GU
2019-10-18,Farm 122,7WIQLC
K7SQ04,Farm 118,13458
2019-10-19,Farm 119,10995
2019-10-19,Farm 120,5906
2019-10-19,Farm 121,4299
2019-10-19,Farm 122,11285
2019-10-20,Farm 118,11151
2019-10-20,Farm 119,4112
2019-10-20,Farm 120,11872
2019-10-20,Farm 121,0S3KNB
2019-10-20,Farm 122,4266
2019-10-21,Farm 118,9873
2019-10-21,Farm 119,4103
2019-10-21,Farm 120,5148
2019-10-21,Farm 121,12352
2019-10-21,Farm 122,15486
2019-10-22,Farm 118,17386
2019-10-22,Farm 119,16102
2019-10-22,Farm 120,RS3T86
2019-10-22,Farm 121,13140
2019-10-22,Farm 122,17353
2019-10-23,Farm 118,15703
2019-10-23,Farm 119,15773
2019-10-23,Farm 120,6531
2019-10-23,Farm 121,17431
2019-10-23,Farm 122,13950
M4QMZ7,Farm 118,11049
2019-10-24,Farm 119,12962
2019-10-24,Farm 120,13827
2019-10-24,Farm 121,17453
2019-10-24,Farm 122,12073
2019-10-25,Farm 118,16549
2019-10-25,Farm 119,10290
2019-10-25,Farm 120,9842
2019-10-25,Farm 121,7887
2019-10-25,Farm 122,13447
2019-10-26,Farm 118,8600
2019-10-26,Farm 119,PTHSXD
2019-10-26,Farm 120,17759
2019-10-26,Farm 121,16953
2019-10-26,Farm 122,13067
2019-10-27,Farm 118,14372
2019-10-27,Farm 119,6170
2019-10-27,Farm 120,17016
2019-10-27,Farm 121,13455
2019-10-27,Farm 122,2712
2019-10-28,Farm 118,14894
2019-10-28,Farm 119,9239
2019-10-28,Farm 120,6088
2019-10-28,Farm 121,7855
2019-10-28,Farm 122,6742
2019-10-29,Farm 118,9510
2019-10-29,Farm 119,3535
2019-10-29,Farm 120,6110
2019-10-29,Farm 121,12417
2019-10-29,Farm 122,16509
2019-10-30,Farm 118,5065
82LU95,Farm 119,5057
2019-10-30,Farm 120,6417
2019-10-30,Farm 121,11375
2019-10-30,Farm 122,CMKBQS
2019-10-31,Farm 118,4984
2019-10-31,Farm 119,10049
2019-10-31,Farm 120,10911
2019-10-31,Farm 121,6559
2019-10-31,Farm 122,12717
