date,farm_id,weight
2019-12-1,Farm 3,9858
2019-12-1,Farm 4,14683
2019-12-1,Farm 5,11924
2019-12-1,Farm 8,8437
2019-12-1,Farm 9,4483
2019-12-1,Farm 12,11274
2019-12-1,Farm 13,6425
2019-12-1,Farm 14,7567
2019-12-1,Farm 15,5053
2019-12-1,Farm 17,11480
2019-12-2,Farm 3,8341
2019-12-2,Farm 4,4933
2019-12-2,Farm 5,12396
2019-12-2,Farm 6,2953
2019-12-2,Farm 7,16515
2019-12-2,Farm 8,7355
2019-12-2,Farm 9,14331
2019-12-2,Farm 10,3930
2019-12-2,Farm 11,9233
2019-12-2,Farm 12,15516
2019-12-2,Farm 13,12193
2019-12-2,Farm 14,10707
2019-12-2,Farm 15,13907
2019-12-2,Farm 16,4316
2019-12-2,Farm 17,16870
2019-12-3,Farm 3,3720
2019-12-3,Farm 4,6251
2019-12-3,Farm 5,11405
2019-12-3,Farm 8,15366
2019-12-3,Farm 9,13245
2019-12-3,Farm 12,6559
2019-12-3,Farm 13,10005
2019-12-3,Farm 14,13725
2019-12-3,Farm 15,16661
2019-12-3,Farm 17,7617
2019-12-4,Farm 3,2884
2019-12-4,Farm 4,14072
2019-12-4,Farm 5,13380
2019-12-4,Farm 6,5898
2019-12-4,Farm 7,12847
2019-12-4,Farm 8,15365
2019-12-4,Farm 9,3422
2019-12-4,Farm 10,6066
2019-12-4,Farm 11,13542
2019-12-4,Farm 12,16145
2019-12-4,Farm 13,14939
2019-12-4,Farm 14,8462
2019-12-4,Farm 15,7141
2019-12-4,Farm 16,5123
2019-12-4,Farm 17,7299
2019-12-5,Farm 3,3073
2019-12-5,Farm 4,12225
2019-12-5,Farm 5,9641
2019-12-5,Farm 8,11973
2019-12-5,Farm 9,2756
2019-12-5,Farm 12,2623
2019-12-5,Farm 13,16521
2019-12-5,Farm 14,12474
2019-12-5,Farm 15,16996
2019-12-5,Farm 17,8246
2019-12-6,Farm 3,3294
2019-12-6,Farm 4,5903
2019-12-6,Farm 5,16715
2019-12-6,Farm 6,6790
2019-12-6,Farm 7,12357
2019-12-6,Farm 8,2115
2019-12-6,Farm 9,3671
2019-12-6,Farm 10,8712
2019-12-6,Farm 11,2886
2019-12-6,Farm 12,3251
2019-12-6,Farm 13,13061
2019-12-6,Farm 14,2486
2019-12-6,Farm 15,14023
2019-12-6,Farm 16,8176
2019-12-6,Farm 17,7926
2019-12-7,Farm 3,8116
2019-12-7,Farm 4,2832
2019-12-7,Farm 5,16424
2019-12-7,Farm 8,6017
2019-12-7,Farm 9,9935
2019-12-7,Farm 12,17983
2019-12-7,Farm 13,15876
2019-12-7,Farm 14,8666
2019-12-7,Farm 15,4072
2019-12-7,Farm 17,10462
2019-12-8,Farm 3,4118
2019-12-8,Farm 4,7020
2019-12-8,Farm 5,4090
2019-12-8,Farm 6,4624
2019-12-8,Farm 7,14392
2019-12-8,Farm 8,15780
2019-12-8,Farm 9,10633
2019-12-8,Farm 10,6985
2019-12-8,Farm 11,15683
2019-12-8,Farm 12,2618
2019-12-8,Farm 13,6065
2019-12-8,Farm 14,7524
2019-12-8,Farm 15,8343
2019-12-8,Farm 16,8679
2019-12-8,Farm 17,16616
2019-12-9,Farm 3,12293
2019-12-9,Farm 4,17320
2019-12-9,Farm 5,9468
2019-12-9,Farm 8,10826
2019-12-9,Farm 9,17544
2019-12-9,Farm 12,14074
2019-12-9,Farm 13,13769
2019-12-9,Farm 14,15306
2019-12-9,Farm 15,13832
2019-12-9,Farm 17,3136
2019-12-10,Farm 3,11316
2019-12-10,Farm 4,3000
2019-12-10,Farm 5,12481
2019-12-10,Farm 6,6482
2019-12-10,Farm 7,4632
2019-12-10,Farm 8,4030
2019-12-10,Farm 9,11019
2019-12-10,Farm 10,14831
2019-12-10,Farm 11,8519
2019-12-10,Farm 12,10255
2019-12-10,Farm 13,5023
2019-12-10,Farm 14,9686
2019-12-10,Farm 15,14413
2019-12-10,Farm 16,11215
2019-12-10,Farm 17,7333
2019-12-11,Farm 3,8693
2019-12-11,Farm 4,7643
2019-12-11,Farm 5,15132
2019-12-11,Farm 8,9640
2019-12-11,Farm 9,7190
2019-12-11,Farm 12,3803
2019-12-11,Farm 13,12030
2019-12-11,Farm 14,3295
2019-12-11,Farm 15,10827
2019-12-11,Farm 17,8758
2019-12-12,Farm 3,8356
2019-12-12,Farm 4,8756
2019-12-12,Farm 5,17538
2019-12-12,Farm 6,4361
2019-12-12,Farm 7,16900
2019-12-12,Farm 8,8561
2019-12-12,Farm 9,3204
2019-12-12,Farm 10,15757
2019-12-12,Farm 11,9396
2019-12-12,Farm 12,14675
2019-12-12,Farm 13,16997
2019-12-12,Farm 14,9906
