date,farm_id,weight
2019-10-1,-,2245
2019-10-1,Farm 124,2731
2019-10-2,Farm 123,2827
2019-10-2,Farm 124,2480
2019-10-2,Farm 125,9341
2019-10-3,Farm 123,2377
2019-10-3,Farm 124,2391
2019-10-4,Farm 123,2529
2019-10-4,Farm 124,2941
2019-10-4,Farm 125,9463
2019-10-5,Farm 123,2308
2019-10-5,Farm 124,2375
2019-10-6,Farm 123,2106
-,Farm 124,2178
2019-10-6,Farm 125,9732
-,Farm 123,2525
2019-10-7,Farm 124,2124
2019-10-8,Farm 123,2116
2019-10-8,Farm 124,2519
2019-10-8,Farm 125,9324
2019-10-9,Farm 123,2156
2019-10-9,Farm 124,2340
2019-10-10,Farm 123,2215
2019-10-10,Farm 124,2792
2019-10-10,Farm 125,9125
2019-10-11,Farm 123,2625
2019-10-11,Farm 124,2500
2019-10-12,Farm 123,2856
2019-10-12,Farm 124,2640
2019-10-12,Farm 125,9135
2019-10-13,Farm 123,2145
2019-10-13,Farm 124,2760
2019-10-14,Farm 123,2909
2019-10-14,Farm 124,-
2019-10-14,Farm 125,9712
2019-10-15,Farm 123,2896
2019-10-15,Farm 124,2987
2019-10-16,Farm 123,2415
2019-10-16,Farm 124,2867
2019-10-16,Farm 125,9321
2019-10-17,Farm 123,2493
2019-10-17,Farm 124,2392
2019-10-18,Farm 123,2441
2019-10-18,Farm 124,2003
2019-10-18,Farm 125,9357
2019-10-19,Farm 123,2604
2019-10-19,Farm 124,2315
2019-10-20,Farm 123,2693
2019-10-20,Farm 124,-
2019-10-20,Farm 125,9672
-,Farm 123,2690
2019-10-21,Farm 124,2669
2019-10-22,Farm 123,2711
2019-10-22,Farm 124,2052
2019-10-22,Farm 125,9312
2019-10-23,Farm 123,2230
2019-10-23,Farm 124,-
2019-10-24,Farm 123,2986
2019-10-24,Farm 124,-
2019-10-24,Farm 125,9357
2019-10-25,Farm 123,2548
-,Farm 124,2625
2019-10-26,Farm 123,2475
2019-10-26,Farm 124,2295
2019-10-26,Farm 125,9732
2019-10-27,Farm 123,2908
2019-10-27,Farm 124,2465
2019-10-28,Farm 123,2366
2019-10-28,Farm 124,2350
2019-10-28,-,9352
2019-10-29,Farm 123,2034
2019-10-29,Farm 124,2918
2019-10-30,Farm 123,2018
2019-10-30,Farm 124,2909
2019-10-30,Farm 125,9452
2019-10-31,Farm 123,2110
2019-10-31,Farm 124,2024
