date,farm_id,weight
2019-11-1,Farm 0,6944
2019-11-1,Farm 1,5110
2019-11-1,Farm 2,3274
2019-11-2,Farm 0,4840
2019-11-2,Farm 1,8762
2019-11-2,Farm 2,5136
2019-11-3,Farm 0,7445
2019-11-3,Farm 1,4730
2019-11-3,Farm 2,6276
2019-11-4,Farm 0,4405
2019-11-4,Farm 1,7589
2019-11-4,Farm 2,3266
2019-11-5,Farm 0,4192
2019-11-5,Farm 1,4916
2019-11-5,Farm 2,8006
2019-11-6,Farm 0,6291
2019-11-6,Farm 1,5589
2019-11-6,Farm 2,8525
2019-11-7,Farm 0,3875
2019-11-7,Farm 1,6562
2019-11-7,Farm 2,5124
2019-11-8,Farm 0,5275
2019-11-8,Farm 1,5156
2019-11-8,Farm 2,5526
2019-11-9,Farm 0,3947
2019-11-9,Farm 1,3102
2019-11-9,Farm 2,5230
2019-11-10,Farm 0,7471
2019-11-10,Farm 1,4349
2019-11-10,Farm 2,6242
2019-11-11,Farm 0,4315
2019-11-11,Farm 1,4347
2019-11-11,Farm 2,8713
2019-11-12,Farm 0,8650
2019-11-12,Farm 1,4607
2019-11-12,Farm 2,6589
2019-11-13,Farm 0,7356
2019-11-13,Farm 1,3004
2019-11-13,Farm 2,7655
2019-11-14,Farm 0,5469
2019-11-14,Farm 1,6017
2019-11-14,Farm 2,7892
2019-11-15,Farm 0,4864
2019-11-15,Farm 1,4348
2019-11-15,Farm 2,7912
2019-11-16,Farm 0,4231
2019-11-16,Farm 1,8249
2019-11-16,Farm 2,6831
2019-11-17,Farm 0,8262
2019-11-17,Farm 1,3282
2019-11-17,Farm 2,6726
2019-11-18,Farm 0,6939
2019-11-18,Farm 1,5347
2019-11-18,Farm 2,5678
2019-11-19,Farm 0,4003
2019-11-19,Farm 1,5560
2019-11-19,Farm 2,5080
2019-11-20,Farm 0,8497
2019-11-20,Farm 1,6189
2019-11-20,Farm 2,8039
2019-11-21,Farm 0,7999
2019-11-21,Farm 1,3234
2019-11-21,Farm 2,6370
2019-11-22,Farm 0,4678
2019-11-22,Farm 1,4085
2019-11-22,Farm 2,3370
2019-11-23,Farm 0,6116
2019-11-23,Farm 1,3004
2019-11-23,Farm 2,7333
2019-11-24,Farm 0,5868
2019-11-24,Farm 1,4515
2019-11-24,Farm 2,6176
2019-11-25,Farm 0,3866
2019-11-25,Farm 1,8200
2019-11-25,Farm 2,6761
2019-11-26,Farm 0,6021
2019-11-26,Farm 1,5279
2019-11-26,Farm 2,5403
2019-11-27,Farm 0,6421
2019-11-27,Farm 1,3285
2019-11-27,Farm 2,5647
2019-11-28,Farm 0,6144
2019-11-28,Farm 1,3688
2019-11-28,Farm 2,7829
2019-11-29,Farm 0,7777
2019-11-29,Farm 1,5911
2019-11-29,Farm 2,7618
2019-11-30,Farm 0,7896
2019-11-30,Farm 1,3814
2019-11-30,Farm 2,4307
