2019-01-00 to 2019-2-1's date range report

farm_id,total,percent of total of all farms
Farm 100,289921,1.0610640006549648%
Farm 101,246216,0.901110764605747%
Farm 102,552193,2.0209371301618955%
Farm 103,82762,0.30289554334527746%
Farm 104,93219,0.3411664732015106%
Farm 105,139102,0.509090837224992%
Farm 106,275422,1.008000004099019%
Farm 107,271741,0.9945281390516062%
Farm 108,42008,0.15374249033189646%
Farm 109,111155,0.40680933424209564%
Farm 110,121118,0.4432723039425499%
Farm 111,85970,0.31463630484272376%
Farm 112,553638,2.0262255966094673%
Farm 113,262269,0.9598621499918149%
Farm 114,121095,0.44318812765999344%
Farm 115,276212,1.0108912764129163%
Farm 116,362524,1.3267792459788714%
Farm 117,120195,0.43989427312517365%
Farm 18,77043,0.28196492769568415%
Farm 19,64660,0.2366451491349368%
Farm 20,380048,1.3909142536101835%
Farm 21,126427,0.4627023858596142%
Farm 22,529752,1.938806697255352%
Farm 23,331263,1.2123690386310946%
Farm 24,109645,0.4012829783003425%
Farm 25,562109,2.0572280874588644%
Farm 26,547197,2.002652577655274%
Farm 27,98629,0.36096619879414915%
Farm 28,560961,2.053026593007784%
Farm 29,135096,0.4944295247066722%
Farm 30,373670,1.3675718044734277%
Farm 31,313091,1.1458624557347123%
Farm 32,78688,0.2879853618176602%
Farm 33,66563,0.24360982155689453%
Farm 34,95019,0.34775418227115%
Farm 35,535397,1.9594664848654155%
Farm 36,59383,0.21733218204577717%
Farm 37,214865,0.7863711718044881%
Farm 38,560554,2.0515370387903706%
Farm 39,74131,0.2713074783563563%
Farm 40,515672,1.8872761729772833%
Farm 41,569915,2.085796785790868%
Farm 42,523919,1.9174588600313478%
Farm 43,96075,0.35161897159200517%
Farm 44,125872,0.4606711755631421%
Farm 45,296864,1.0864742584719127%
Farm 46,322038,1.1786070296491924%
Farm 47,351037,1.2847386825994558%
Farm 48,100765,0.3687836135567879%
Farm 49,157744,0.5773175441562245%
Farm 50,560492,2.051310128811305%
Farm 51,200579,0.7340867208217831%
Farm 52,216167,0.7911362813648607%
Farm 53,339661,1.2431043612793344%
Farm 54,257206,0.9413323883142678%
Farm 55,542200,1.9843643653102805%
Farm 56,161410,0.5907345116280568%
Farm 57,220441,0.8067784305668824%
Farm 58,567616,2.0773828173735893%
Farm 59,544469,1.9926685385763983%
Farm 60,283912,1.0390720318774849%
Farm 61,559507,2.047705188014864%
Farm 62,302331,1.1064825948517565%
Farm 63,552434,2.021819151209553%
Farm 64,541824,1.9829882660824003%
Farm 65,195917,0.7170245543314169%
Farm 66,31111,0.1138612315919737%
Farm 67,544228,1.991786517528741%
Farm 68,326770,1.1959253848256002%
Farm 69,285339,1.0442946212343602%
Farm 70,109706,0.4015062284410359%
Farm 71,358430,1.3117958676838137%
Farm 72,575223,2.1052232078695603%
Farm 73,86773,0.31757515505545736%
Farm 74,215135,0.7873593281649339%
Farm 75,243220,0.8901458888431694%
Farm 76,121763,0.4456328996925041%
Farm 77,327384,1.1981725255860216%
Farm 78,270337,0.9893897259772876%
Farm 79,94916,0.3473772189188318%
Farm 80,270338,0.9893933858156595%
Farm 81,347328,1.2711643420776266%
Farm 82,98986,0.36227276109296097%
Farm 83,260612,0.9537977978093745%
Farm 84,70464,0.257886851046152%
Farm 85,307017,1.1236325974630514%
Farm 86,82011,0.300147004727889%
Farm 87,54342,0.19888293681241473%
Farm 88,175392,0.6419063717456671%
Farm 89,111579,0.40836110571183293%
Farm 90,514790,1.8840481955331598%
Farm 91,290815,1.0643358961595522%
Farm 92,111052,0.40643237088977735%
Farm 93,545794,1.9975178244193272%
Farm 94,108783,0.39812819762365964%
Farm 95,103044,0.3771243852066259%
Farm 96,252118,0.9227111306774203%
Farm 97,116103,0.42491821450686%
Farm 98,527988,1.932350742367105%
Farm 99,377702,1.3823282727894202%
